val_loss,val_accuracy,hamming_dist,epoch,step,train_loss
0.00020523594866972417,0.8870383501052856,0.11296175420284271,0,189,
,,,0,189,0.0002282286004628986
0.00019380933372303843,0.892276406288147,0.10772348940372467,1,379,
,,,1,379,0.0001968747383216396
0.0002066584856947884,0.8886776566505432,0.11132236570119858,2,569,
,,,2,569,0.0001921637012856081
0.0002028649323619902,0.8903560042381287,0.10964418202638626,3,759,
,,,3,759,0.00018885574536398053
0.0002277481253258884,0.8836043477058411,0.11639569699764252,4,949,
,,,4,949,0.00018556159920990467
0.0001801815815269947,0.8985334038734436,0.10146670043468475,5,1139,
,,,5,1139,0.00018095268751494586
0.00020128925098106265,0.8871352672576904,0.11286473274230957,6,1329,
,,,6,1329,0.0001749718067003414
0.0001937046181410551,0.8902005553245544,0.10979939997196198,7,1519,
,,,7,1519,0.0001633879292057827
0.00016979002975858748,0.9041402339935303,0.0958598405122757,8,1709,
,,,8,1709,0.0001605056313565001
0.00015412464563269168,0.9072056412696838,0.0927945151925087,9,1899,
,,,9,1899,0.00015387484745588154
0.0001594674977241084,0.9091553688049316,0.09084472060203552,10,2089,
,,,10,2089,0.00014880178787279874
0.0001957299973582849,0.8960984349250793,0.10390153527259827,11,2279,
,,,11,2279,0.00014459290832746774
0.00016128119023051113,0.9045764207839966,0.09542332589626312,12,2469,
,,,12,2469,0.0001398777967551723
0.00015515678387600929,0.9056341052055359,0.09436597675085068,13,2659,
,,,13,2659,0.0001342400792054832
0.0001459890481783077,0.9117063879966736,0.08829350024461746,14,2849,
,,,14,2849,0.0001285239850403741
0.00016991257143672556,0.9027917981147766,0.09720821678638458,15,3039,
,,,15,3039,0.0001272926601814106
0.0001728419738356024,0.9076129198074341,0.09238708764314651,16,3229,
,,,16,3229,0.00011874157644342631
0.0001503092353232205,0.9070599675178528,0.09294001758098602,17,3419,
,,,17,3419,0.00011383622040739283
0.00014928555174265057,0.9174686074256897,0.08253142982721329,18,3609,
,,,18,3609,0.00011114829976577312
0.00014121174172032624,0.925063967704773,0.07493596524000168,19,3799,
,,,19,3799,0.0001066095574060455
0.0001312232343479991,0.9187101125717163,0.08128976076841354,20,3989,
,,,20,3989,0.00010565459524514154
0.00013999830116517842,0.9162461757659912,0.08375368267297745,21,4179,
,,,21,4179,0.00010300774010829628
0.00014339938934426755,0.9159166812896729,0.08408350497484207,22,4369,
,,,22,4369,0.00010343991743866354
0.00013391257380135357,0.9180699586868286,0.0819299966096878,23,4559,
,,,23,4559,0.00010041167843155563
0.00013255828525871038,0.9228621125221252,0.07713797688484192,24,4749,
,,,24,4749,9.958086593542248e-05
0.0001363372866762802,0.9268101453781128,0.07318989187479019,25,4939,
,,,25,4939,9.83171776169911e-05
0.00015060514851938933,0.9246082305908203,0.07539190351963043,26,5129,
,,,26,5129,9.639851487008855e-05
0.0001460940547985956,0.9213100671768188,0.0786900520324707,27,5319,
,,,27,5319,9.574311116011813e-05
0.00014962196291889995,0.927188515663147,0.07281158119440079,28,5509,
,,,28,5509,0.00010254851804347709
0.0001329161023022607,0.9322617650032043,0.06773824244737625,29,5699,
,,,29,5699,9.681184747023508e-05
0.00013450336700771004,0.9305158257484436,0.06948433071374893,30,5889,
,,,30,5889,9.233206219505519e-05
0.00016425932699348778,0.9232599139213562,0.07674026489257812,31,6079,
,,,31,6079,9.20504899113439e-05
0.00013310209033079445,0.9274599552154541,0.07253996282815933,32,6269,
,,,32,6269,9.036959818331525e-05
0.00013617057993542403,0.9343766570091248,0.06562355905771255,33,6459,
,,,33,6459,8.8224966020789e-05
0.00013533000310417265,0.9335614442825317,0.06643838435411453,34,6649,
,,,34,6649,8.712760609341785e-05
0.00013176436186768115,0.933134913444519,0.0668652132153511,35,6839,
,,,35,6839,8.588223863625899e-05
0.00013551994925364852,0.9454447031021118,0.05455533415079117,36,7029,
,,,36,7029,8.433710900135338e-05
0.00013341517478693277,0.9382858872413635,0.06171427294611931,37,7219,
,,,37,7219,8.442476973868906e-05
0.00013068132102489471,0.9434269070625305,0.05657302588224411,38,7409,
,,,38,7409,8.261761104222387e-05
0.00013541955559048802,0.9343862533569336,0.06561383605003357,39,7599,
,,,39,7599,8.287058881251141e-05
0.00014837227354291826,0.9304282665252686,0.06957162171602249,40,7789,
,,,40,7789,8.301592606585473e-05
0.0001423998619429767,0.9402257800102234,0.05977416783571243,41,7979,
,,,41,7979,8.413385512540117e-05
0.00014026074495632201,0.93531733751297,0.06468258798122406,42,8169,
,,,42,8169,8.53701276355423e-05
0.00015163019997999072,0.9459102153778076,0.054089706391096115,43,8359,
,,,43,8359,8.270124817499891e-05
0.00013957919145468622,0.9370245337486267,0.06297530978918076,44,8549,
,,,44,8549,8.317281753988937e-05
0.0001413583377143368,0.9411570429801941,0.05884292349219322,45,8739,
,,,45,8739,8.458974480163306e-05
0.00013948917330708355,0.9408466219902039,0.05915333703160286,46,8929,
,,,46,8929,8.3019862358924e-05
0.0001382445771014318,0.9453863501548767,0.05461352691054344,47,9119,
,,,47,9119,8.094734221231192e-05
0.00013556373596657068,0.9460656046867371,0.053934503346681595,48,9309,
,,,48,9309,7.994150655576959e-05
0.00013649175525642931,0.9443386793136597,0.05566117540001869,49,9499,
,,,49,9499,8.135637472150847e-05
